######################################################################
#
# LoggerIdentifier    : 1858001C
# Comment             : 
# StartBatteryVoltage :      2953 mV
# EndBatteryVoltage   :      2933 mV
# TotalSampleCount    :    266826
# ResistanceOffset    :     11899.26821
# ResistanceScale     :     90961.56387
# TemperatureOffset   :         0.0009397284
# TemperatureLinear   :         0.0002205166
# TemperatureCubic    :         0.0000001287
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2005 10 18 16 04 18    28120    39979.637       18.437
2005 10 18 16 04 19    28135    40001.212       18.425
2005 10 18 16 04 20    28149    40021.355       18.413
2005 10 18 16 04 21    28163    40041.505       18.402
2005 10 18 16 04 22    28179    40064.540       18.389
2005 10 18 16 04 23    28426    40421.179       18.191
2005 10 18 16 04 24    28965    41206.212       17.760
2005 10 18 16 04 25    29541    42055.571       17.305
2005 10 18 16 04 26    30060    42830.283       16.898
2005 10 18 16 04 27    30522    43527.542       16.539
2005 10 18 16 04 28    30939    44163.156       16.218
2005 10 18 16 04 29    31322    44752.261       15.924
2005 10 18 16 04 30    31679    45306.020       15.652
2005 10 18 16 04 31    32008    45820.362       15.403
2005 10 18 16 04 32    32296    46273.805       15.186
2005 10 18 16 04 33    32531    46646.036       15.009
2005 10 18 16 04 34    32724    46953.253       14.865
2005 10 18 16 04 35    32879    47200.978       14.749
2005 10 18 16 04 36    33019    47425.495       14.645
2005 10 18 16 04 37    33142    47623.352       14.553
2005 10 18 16 04 38    33250    47797.547       14.473
2005 10 18 16 04 39    33343    47947.900       14.404
2005 10 18 16 04 40    33417    48067.769       14.349
2005 10 18 16 04 41    33472    48156.994       14.309
2005 10 18 16 04 42    33515    48226.833       14.277
2005 10 18 16 04 43    33560    48299.994       14.244
2005 10 18 16 04 44    33594    48355.323       14.219
2005 10 18 16 04 45    33623    48402.549       14.197
2005 10 18 16 04 46    33655    48454.699       14.174
2005 10 18 16 04 47    33688    48508.519       14.149
2005 10 18 16 04 48    33718    48557.482       14.127
2005 10 18 16 04 49    33744    48599.945       14.108
2005 10 18 16 04 50    33767    48637.530       14.091
2005 10 18 16 04 51    33783    48663.687       14.079
2005 10 18 16 04 52    33794    48681.677       14.071
2005 10 18 16 04 53    33818    48720.942       14.054
2005 10 18 16 04 54    33857    48784.795       14.025
2005 10 18 16 04 55    33904    48861.824       13.990
2005 10 18 16 04 56    33954    48943.863       13.954
2005 10 18 16 04 57    34002    49022.711       13.918
2005 10 18 16 04 58    34038    49081.905       13.892
2005 10 18 16 04 59    34064    49124.688       13.873
2005 10 18 16 05 00    34085    49159.262       13.858
2005 10 18 16 05 01    34108    49197.149       13.841
2005 10 18 16 05 02    34125    49225.165       13.828
2005 10 18 16 05 03    34141    49251.544       13.817
2005 10 18 16 05 04    34161    49284.531       13.802
2005 10 18 16 05 05    34183    49320.835       13.786
2005 10 18 16 05 06    34208    49362.112       13.767
2005 10 18 16 05 07    34235    49406.718       13.748
2005 10 18 16 05 08    34263    49453.007       13.727
2005 10 18 16 05 09    34287    49492.707       13.710
2005 10 18 16 05 10    34306    49524.153       13.696
2005 10 18 16 05 11    34321    49548.988       13.685
2005 10 18 16 05 12    34332    49567.206       13.677
2005 10 18 16 05 13    34341    49582.115       13.670
2005 10 18 16 05 14    34352    49600.342       13.662
2005 10 18 16 05 15    34363    49618.573       13.654
2005 10 18 16 05 16    34371    49631.835       13.648
2005 10 18 16 05 17    34379    49645.100       13.643
2005 10 18 16 05 18    34387    49658.367       13.637
2005 10 18 16 05 19    34392    49666.660       13.633
2005 10 18 16 05 20    34398    49676.614       13.629
2005 10 18 16 05 21    34403    49684.909       13.625
2005 10 18 16 05 22    34407    49691.546       13.622
2005 10 18 16 05 23    34409    49694.865       13.621
2005 10 18 16 05 24    34411    49698.184       13.619
2005 10 18 16 05 25    34412    49699.843       13.618
2005 10 18 16 05 26    34413    49701.503       13.618
2005 10 18 16 05 27    34415    49704.822       13.616
2005 10 18 16 05 28    34420    49713.121       13.613
2005 10 18 16 05 29    34427    49724.741       13.607
2005 10 18 16 05 30    34433    49734.702       13.603
2005 10 18 16 05 31    34438    49743.004       13.599
2005 10 18 16 05 32    34440    49746.325       13.598
2005 10 18 16 05 33    34442    49749.647       13.597
2005 10 18 16 05 34    34443    49751.308       13.596
2005 10 18 16 05 35    34445    49754.629       13.594
2005 10 18 16 05 36    34448    49759.612       13.592
2005 10 18 16 05 37    34449    49761.273       13.591
2005 10 18 16 05 38    34451    49764.595       13.590
2005 10 18 16 05 39    34454    49769.578       13.588
2005 10 18 16 05 40    34459    49777.884       13.584
2005 10 18 16 05 41    34464    49786.192       13.581
2005 10 18 16 05 42    34469    49794.500       13.577
2005 10 18 16 05 43    34473    49801.148       13.574
2005 10 18 16 05 44    34477    49807.796       13.571
2005 10 18 16 05 45    34480    49812.782       13.569
2005 10 18 16 05 46    34482    49816.106       13.567
2005 10 18 16 05 47    34484    49819.431       13.566
2005 10 18 16 05 48    34485    49821.093       13.565
2005 10 18 16 05 49    34486    49822.756       13.564
2005 10 18 16 05 50    34488    49826.081       13.563
2005 10 18 16 05 51    34491    49831.068       13.561
2005 10 18 16 05 52    34495    49837.719       13.558
2005 10 18 16 05 53    34497    49841.045       13.556
2005 10 18 16 05 54    34499    49844.371       13.555
2005 10 18 16 05 55    34502    49849.360       13.553
2005 10 18 16 05 56    34504    49852.686       13.551
2005 10 18 16 05 57    34505    49854.349       13.551
2005 10 18 16 05 58    34507    49857.676       13.549
2005 10 18 16 05 59    34508    49859.339       13.548
2005 10 18 16 06 00    34509    49861.002       13.548
2005 10 18 16 06 01    34511    49864.329       13.546
2005 10 18 16 06 02    34512    49865.992       13.546
2005 10 18 16 06 03    34514    49869.319       13.544
2005 10 18 16 06 04    34514    49869.319       13.544
2005 10 18 16 06 05    34515    49870.983       13.543
2005 10 18 16 06 06    34516    49872.646       13.543
2005 10 18 16 06 07    34516    49872.646       13.543
2005 10 18 16 06 08    34517    49874.310       13.542
2005 10 18 16 06 09    34518    49875.974       13.541
2005 10 18 16 06 10    34518    49875.974       13.541
2005 10 18 16 06 11    34520    49879.301       13.540
2005 10 18 16 06 12    34521    49880.965       13.539
2005 10 18 16 06 13    34523    49884.293       13.538
2005 10 18 16 06 14    34523    49884.293       13.538
2005 10 18 16 06 15    34523    49884.293       13.538
2005 10 18 16 06 16    34524    49885.957       13.537
2005 10 18 16 06 17    34524    49885.957       13.537
2005 10 18 16 06 18    34525    49887.621       13.536
2005 10 18 16 06 19    34525    49887.621       13.536
2005 10 18 16 06 20    34525    49887.621       13.536
2005 10 18 16 06 21    34525    49887.621       13.536
2005 10 18 16 06 22    34525    49887.621       13.536
2005 10 18 16 06 23    34525    49887.621       13.536
2005 10 18 16 06 24    34526    49889.285       13.535
2005 10 18 16 06 25    34527    49890.949       13.535
2005 10 18 16 06 26    34527    49890.949       13.535
2005 10 18 16 06 27    34529    49894.277       13.533
2005 10 18 16 06 28    34532    49899.269       13.531
2005 10 18 16 06 29    34533    49900.934       13.530
2005 10 18 16 06 30    34531    49897.605       13.532
2005 10 18 16 06 31    34529    49894.277       13.533
2005 10 18 16 06 32    34527    49890.949       13.535
2005 10 18 16 06 33    34526    49889.285       13.535
2005 10 18 16 06 34    34526    49889.285       13.535
2005 10 18 16 06 35    34526    49889.285       13.535
2005 10 18 16 06 36    34527    49890.949       13.535
2005 10 18 16 06 37    34527    49890.949       13.535
2005 10 18 16 06 38    34527    49890.949       13.535
2005 10 18 16 06 39    34528    49892.613       13.534
2005 10 18 16 06 40    34530    49895.941       13.532
2005 10 18 16 06 41    34532    49899.269       13.531
2005 10 18 16 06 42    34535    49904.262       13.529
2005 10 18 16 06 43    34540    49912.584       13.525
2005 10 18 16 06 44    34543    49917.578       13.523
2005 10 18 16 06 45    34546    49922.573       13.521
2005 10 18 16 06 46    34548    49925.902       13.519
2005 10 18 16 06 47    34553    49934.227       13.516
2005 10 18 16 06 48    34557    49940.888       13.513
2005 10 18 16 06 49    34563    49950.880       13.508
2005 10 18 16 06 50    34570    49962.539       13.503
2005 10 18 16 06 51    34578    49975.866       13.497
2005 10 18 16 06 52    34592    49999.195       13.487
2005 10 18 16 06 53    34614    50035.869       13.471
2005 10 18 16 06 54    34638    50075.900       13.454
2005 10 18 16 06 55    34670    50129.309       13.431
2005 10 18 16 06 56    34707    50191.115       13.404
2005 10 18 16 06 57    34750    50263.010       13.372
2005 10 18 16 06 58    34797    50341.678       13.338
2005 10 18 16 06 59    34845    50422.110       13.303
2005 10 18 16 07 00    34895    50505.991       13.267
2005 10 18 16 07 01    34942    50584.929       13.233
2005 10 18 16 07 02    34992    50669.003       13.197
2005 10 18 16 07 03    35055    50775.079       13.151
2005 10 18 16 07 04    35123    50889.751       13.102
2005 10 18 16 07 05    35191    51004.610       13.053
2005 10 18 16 07 06    35260    51121.347       13.003
2005 10 18 16 07 07    35325    51231.493       12.956
2005 10 18 16 07 08    35390    51341.810       12.910
2005 10 18 16 07 09    35456    51454.000       12.862
2005 10 18 16 07 10    35519    51561.255       12.817
2005 10 18 16 07 11    35576    51658.435       12.776
2005 10 18 16 07 12    35621    51735.249       12.744
2005 10 18 16 07 13    35659    51800.179       12.716
2005 10 18 16 07 14    35694    51860.035       12.691
2005 10 18 16 07 15    35731    51923.366       12.665
2005 10 18 16 07 16    35770    51990.182       12.637
2005 10 18 16 07 17    35816    52069.070       12.604
2005 10 18 16 07 18    35868    52158.353       12.567
2005 10 18 16 07 19    35922    52251.187       12.528
2005 10 18 16 07 20    35974    52340.698       12.491
2005 10 18 16 07 21    36027    52432.045       12.453
2005 10 18 16 07 22    36080    52523.508       12.415
2005 10 18 16 07 23    36129    52608.173       12.380
2005 10 18 16 07 24    36179    52694.668       12.345
2005 10 18 16 07 25    36229    52781.268       12.309
2005 10 18 16 07 26    36275    52861.032       12.276
2005 10 18 16 07 27    36320    52939.147       12.244
2005 10 18 16 07 28    36375    53034.737       12.205
2005 10 18 16 07 29    36435    53139.162       12.162
2005 10 18 16 07 30    36497    53247.227       12.118
2005 10 18 16 07 31    36563    53362.443       12.072
2005 10 18 16 07 32    36631    53481.342       12.023
2005 10 18 16 07 33    36692    53588.168       11.980
2005 10 18 16 07 34    36745    53681.113       11.943
2005 10 18 16 07 35    36792    53763.636       11.909
2005 10 18 16 07 36    36840    53848.012       11.875
2005 10 18 16 07 37    36886    53928.964       11.843
2005 10 18 16 07 38    36930    54006.482       11.812
2005 10 18 16 07 39    36977    54089.376       11.779
2005 10 18 16 07 40    37030    54182.967       11.741
2005 10 18 16 07 41    37088    54285.526       11.700
2005 10 18 16 07 42    37143    54382.913       11.662
2005 10 18 16 07 43    37194    54473.335       11.626
2005 10 18 16 07 44    37237    54549.660       11.596
2005 10 18 16 07 45    37274    54615.400       11.569
2005 10 18 16 07 46    37309    54677.641       11.545
2005 10 18 16 07 47    37344    54739.935       11.520
2005 10 18 16 07 48    37387    54816.540       11.490
2005 10 18 16 07 49    37439    54909.287       11.454
2005 10 18 16 07 50    37492    55003.939       11.416
2005 10 18 16 07 51    37542    55093.346       11.381
2005 10 18 16 07 52    37588    55175.698       11.349
2005 10 18 16 07 53    37631    55252.762       11.319
2005 10 18 16 07 54    37675    55331.703       11.288
2005 10 18 16 07 55    37720    55412.526       11.257
2005 10 18 16 07 56    37766    55495.238       11.225
2005 10 18 16 07 57    37816    55585.248       11.190
2005 10 18 16 07 58    37869    55680.780       11.153
2005 10 18 16 07 59    37924    55780.048       11.114
