 ACQUISITION DATE:,,, 11/19/09 
 CF-2 SERIAL NUMBER:,,, 7448
 PROGRAM VERSION:,,, V1.2E
 LAST CALIBRATION DATE:,,, 10/20/2008
 FILE REFERENCE:,,, 1351b
 PRESSURE TRANSDUCER S/N:,,, 000
 Electronics S/N and Thermistor S/N:,,,CDAQ01-10T03
 Board Temperature at time of Calibration:,,,28C degrees


 GMT TIME          , Tip Temp,  Tip R  , Brd Temp, Batt Volts,   Pressure,       GMT Time  , X  , Y , Z
 mm/dd/yy HH:MM:SS  , deg C ,   Ohms ,     deg C ,   Volts ,      PSI,       mm/dd/yy HH:MM:SS  , g  , g , g
11/19/09 13:09:23.04,  20.535, 12187.88,   22.3,     7.1,                      ,11/19/09 13:07:53.02, 0.01, 0.27, -0.96
11/19/09 13:09:24.04,  20.535, 12188.24,   22.3,     7.1,                      ,11/19/09 13:07:53.12, 0.01, 0.27, -0.96
11/19/09 13:09:25.04,  20.534, 12188.52,   22.3,     7.1,                      ,11/19/09 13:07:53.22, 0.01, 0.27, -0.96
11/19/09 13:09:26.04,  20.534, 12188.84,   22.3,     7.1,                      ,11/19/09 13:07:53.32, 0.01, 0.28, -0.96
11/19/09 13:09:27.04,  20.533, 12189.06,   22.3,     7.1,                      ,11/19/09 13:07:53.42, 0.01, 0.27, -0.96
11/19/09 13:09:28.04,  20.533, 12189.26,   22.3,     7.1,                      ,11/19/09 13:07:53.52, 0.01, 0.27, -0.96
11/19/09 13:09:29.04,  20.533, 12189.45,   22.3,     7.1,                      ,11/19/09 13:07:53.62, 0.01, 0.28, -0.97
11/19/09 13:09:30.04,  20.532, 12189.59,   22.3,     7.1,                      ,11/19/09 13:07:53.72, 0.01, 0.28, -0.96
11/19/09 13:09:31.04,  20.532, 12189.71,   22.3,     7.1,                      ,11/19/09 13:07:53.82, 0.01, 0.28, -0.97
11/19/09 13:09:32.04,  20.532, 12189.83,   22.3,     7.1,                      ,11/19/09 13:07:53.92, 0.01, 0.28, -0.96
11/19/09 13:09:33.04,  20.532, 12189.82,   22.3,     7.1,                      ,11/19/09 13:07:54.02, 0.01, 0.28, -0.97
11/19/09 13:09:34.04,  20.532, 12189.80,   22.3,     7.1,                      ,11/19/09 13:07:54.12, 0.01, 0.28, -0.97
11/19/09 13:09:35.04,  20.532, 12189.76,   22.3,     7.1,                      ,11/19/09 13:07:54.22, 0.01, 0.28, -0.97
11/19/09 13:09:36.04,  20.532, 12189.77,   22.3,     7.1,                      ,11/19/09 13:07:54.32, 0.01, 0.28, -0.97
11/19/09 13:09:37.04,  20.532, 12189.75,   22.4,     7.1,                      ,11/19/09 13:07:54.42, 0.01, 0.28, -0.97
11/19/09 13:09:38.04,  20.532, 12189.77,   22.4,     7.1,                      ,11/19/09 13:07:54.52, 0.01, 0.28, -0.97
11/19/09 13:09:39.04,  20.532, 12189.76,   22.4,     7.1,                      ,11/19/09 13:07:54.62, 0.01, 0.28, -0.97
11/19/09 13:09:40.04,  20.532, 12189.78,   22.4,     7.1,                      ,11/19/09 13:07:54.72, 0.01, 0.28, -0.96
11/19/09 13:09:41.04,  20.532, 12189.74,   22.4,     7.1,                      ,11/19/09 13:07:54.82, 0.01, 0.28, -0.97
11/19/09 13:09:42.04,  20.532, 12189.75,   22.4,     7.1,                      ,11/19/09 13:07:54.92, 0.01, 0.28, -0.96
11/19/09 13:09:43.04,  20.532, 12189.79,   22.4,     7.1,                      ,11/19/09 13:07:55.02, 0.01, 0.28, -0.97
11/19/09 13:09:44.04,  20.532, 12189.82,   22.4,     7.1,                      ,11/19/09 13:07:55.12, 0.01, 0.28, -0.96
11/19/09 13:09:45.04,  20.532, 12189.90,   22.4,     7.1,                      ,11/19/09 13:07:55.22, 0.01, 0.28, -0.96
11/19/09 13:09:46.04,  20.532, 12190.00,   22.4,     7.1,                      ,11/19/09 13:07:55.32, 0.01, 0.28, -0.96
11/19/09 13:09:47.04,  20.531, 12190.11,   22.4,     7.1,                      ,11/19/09 13:07:55.42, 0.01, 0.28, -0.96
11/19/09 13:09:48.04,  20.531, 12190.21,   22.4,     7.0,                      ,11/19/09 13:07:55.52, 0.01, 0.28, -0.96
11/19/09 13:09:49.04,  20.531, 12190.30,   22.4,     7.0,                      ,11/19/09 13:07:55.62, 0.01, 0.28, -0.96
11/19/09 13:09:50.04,  20.531, 12190.37,   22.4,     7.0,                      ,11/19/09 13:07:55.72, 0.01, 0.28, -0.96
11/19/09 13:09:51.04,  20.531, 12190.35,   22.4,     7.0,                      ,11/19/09 13:07:55.82, 0.01, 0.28, -0.96
11/19/09 13:09:52.04,  20.531, 12190.32,   22.4,     7.0,                      ,11/19/09 13:07:55.92, 0.01, 0.27, -0.96
11/19/09 13:09:53.04,  20.531, 12190.34,   22.4,     7.0,                      ,11/19/09 13:07:56.02, 0.01, 0.27, -0.96
11/19/09 13:09:54.04,  20.531, 12190.28,   22.4,     7.0,                      ,11/19/09 13:07:56.12, 0.01, 0.27, -0.96
11/19/09 13:09:55.04,  20.531, 12190.18,   22.4,     7.0,                      ,11/19/09 13:07:56.22, 0.01, 0.27, -0.96
11/19/09 13:09:56.04,  20.531, 12190.14,   22.4,     7.0,                      ,11/19/09 13:07:56.32, 0.01, 0.27, -0.96
11/19/09 13:09:57.04,  20.531, 12190.13,   22.4,     7.0,                      ,11/19/09 13:07:56.42, 0.01, 0.27, -0.96
11/19/09 13:09:58.04,  20.531, 12190.10,   22.4,     7.0,                      ,11/19/09 13:07:56.52, 0.01, 0.27, -0.96
11/19/09 13:09:59.04,  20.531, 12190.08,   22.4,     7.0,                      ,11/19/09 13:07:56.62, 0.01, 0.27, -0.96
11/19/09 13:10:00.04,  20.532, 12190.06,   22.4,     7.0,                      ,11/19/09 13:07:56.72, 0.01, 0.27, -0.96
11/19/09 13:10:01.04,  20.532, 12189.99,   22.4,     7.0,                      ,11/19/09 13:07:56.82, 0.01, 0.27, -0.96
11/19/09 13:10:02.04,  20.532, 12189.93,   22.4,     7.0,                      ,11/19/09 13:07:56.92, 0.01, 0.27, -0.95
11/19/09 13:10:03.04,  20.532, 12189.82,   22.5,     7.0,                      ,11/19/09 13:07:57.02, 0.01, 0.27, -0.95
11/19/09 13:10:04.04,  20.532, 12189.76,   22.5,     7.0,                      ,11/19/09 13:07:57.12, 0.01, 0.27, -0.95
11/19/09 13:10:05.04,  20.532, 12189.68,   22.5,     7.0,                      ,11/19/09 13:07:57.22, 0.01, 0.26, -0.95
11/19/09 13:10:06.04,  20.532, 12189.63,   22.5,     7.0,                      ,11/19/09 13:07:57.32, 0.01, 0.27, -0.95
11/19/09 13:10:07.04,  20.532, 12189.60,   22.5,     7.0,                      ,11/19/09 13:07:57.42, 0.00, 0.26, -0.95
11/19/09 13:10:08.04,  20.533, 12189.51,   22.5,     7.0,                      ,11/19/09 13:07:57.52, 0.00, 0.27, -0.95
11/19/09 13:10:09.04,  20.533, 12189.47,   22.5,     7.0,                      ,11/19/09 13:07:57.62, 0.00, 0.26, -0.95
11/19/09 13:10:10.04,  20.533, 12189.44,   22.5,     7.0,                      ,11/19/09 13:07:57.72, 0.00, 0.26, -0.95
11/19/09 13:10:11.04,  20.533, 12189.51,   22.5,     7.0,                      ,11/19/09 13:07:57.82, 0.00, 0.26, -0.95
11/19/09 13:10:12.04,  20.532, 12189.71,   22.5,     7.0,                      ,11/19/09 13:07:57.92, 0.00, 0.26, -0.95
11/19/09 13:10:13.04,  20.532, 12189.98,   22.5,     7.0,                      ,11/19/09 13:07:58.02, -0.00, 0.26, -0.95
11/19/09 13:10:14.04,  20.531, 12190.26,   22.5,     7.0,                      ,11/19/09 13:07:58.12, -0.00, 0.26, -0.95
11/19/09 13:10:15.04,  20.531, 12190.56,   22.5,     7.0,                      ,11/19/09 13:07:58.22, -0.00, 0.26, -0.95
11/19/09 13:10:16.04,  20.530, 12190.85,   22.5,     7.0,                      ,11/19/09 13:07:58.32, -0.00, 0.26, -0.95
11/19/09 13:10:17.04,  20.529, 12191.25,   22.5,     7.0,                      ,11/19/09 13:07:58.42, -0.00, 0.26, -0.95
11/19/09 13:10:18.04,  20.529, 12191.65,   22.5,     7.0,                      ,11/19/09 13:07:58.52, -0.00, 0.26, -0.95
11/19/09 13:10:19.04,  20.528, 12192.04,   22.5,     7.0,                      ,11/19/09 13:07:58.62, -0.00, 0.26, -0.95
11/19/09 13:10:20.04,  20.527, 12192.43,   22.5,     7.0,                      ,11/19/09 13:07:58.72, -0.00, 0.26, -0.95
11/19/09 13:10:21.04,  20.527, 12192.76,   22.5,     7.0,                      ,11/19/09 13:07:58.82, -0.00, 0.26, -0.95
11/19/09 13:10:22.04,  20.526, 12193.12,   22.5,     7.0,                      ,11/19/09 13:07:58.92, -0.00, 0.26, -0.95
11/19/09 13:10:23.04,  20.525, 12193.46,   22.5,     7.0,                      ,11/19/09 13:07:59.02, -0.00, 0.26, -0.95
11/19/09 13:10:24.04,  20.525, 12193.73,   22.5,     7.0,                      ,11/19/09 13:07:59.12, -0.00, 0.26, -0.95
11/19/09 13:10:25.04,  20.524, 12193.95,   22.5,     7.0,                      ,11/19/09 13:07:59.22, -0.00, 0.26, -0.95
11/19/09 13:10:26.04,  20.524, 12194.17,   22.5,     7.0,                      ,11/19/09 13:07:59.32, -0.00, 0.26, -0.95
11/19/09 13:10:27.04,  20.524, 12194.37,   22.5,     7.0,                      ,11/19/09 13:07:59.42, -0.00, 0.26, -0.95
11/19/09 13:10:28.04,  20.523, 12194.51,   22.5,     7.0,                      ,11/19/09 13:07:59.52, -0.00, 0.26, -0.95
11/19/09 13:10:29.04,  20.523, 12194.66,   22.5,     7.0,                      ,11/19/09 13:07:59.62, -0.00, 0.26, -0.96
11/19/09 13:10:30.04,  20.523, 12194.73,   22.5,     7.0,                      ,11/19/09 13:07:59.72, -0.00, 0.26, -0.96
11/19/09 13:10:31.04,  20.523, 12194.89,   22.5,     7.0,                      ,11/19/09 13:07:59.82, -0.00, 0.26, -0.96
11/19/09 13:10:32.04,  20.523, 12194.98,   22.6,     7.0,                      ,11/19/09 13:07:59.92, -0.00, 0.26, -0.96
11/19/09 13:10:33.04,  20.522, 12195.14,   22.6,     7.0,                      ,11/19/09 13:08:00.02, 0.00, 0.26, -0.96
11/19/09 13:10:34.04,  20.522, 12195.25,   22.6,     7.0,                      ,11/19/09 13:08:00.12, 0.00, 0.26, -0.96
11/19/09 13:10:35.04,  20.522, 12195.40,   22.6,     7.0,                      ,11/19/09 13:08:00.22, 0.00, 0.26, -0.96
11/19/09 13:10:36.04,  20.521, 12195.58,   22.6,     7.0,                      ,11/19/09 13:08:00.32, 0.00, 0.26, -0.96
11/19/09 13:10:37.04,  20.521, 12195.72,   22.6,     7.0,                      ,11/19/09 13:08:00.42, 0.00, 0.26, -0.96
11/19/09 13:10:38.04,  20.521, 12195.92,   22.6,     7.0,                      ,11/19/09 13:08:00.52, 0.00, 0.26, -0.96
11/19/09 13:10:39.04,  20.520, 12196.14,   22.6,     7.0,                      ,11/19/09 13:08:00.62, 0.01, 0.26, -0.97
11/19/09 13:10:40.04,  20.520, 12196.44,   22.6,     7.0,                      ,11/19/09 13:08:00.72, 0.01, 0.26, -0.96
11/19/09 13:10:41.04,  20.519, 12196.75,   22.6,     7.0,                      ,11/19/09 13:08:00.82, 0.01, 0.26, -0.97
11/19/09 13:10:42.04,  20.519, 12197.04,   22.6,     7.0,                      ,11/19/09 13:08:00.92, 0.01, 0.26, -0.97
11/19/09 13:10:43.04,  20.518, 12197.34,   22.6,     7.0,                      ,11/19/09 13:08:01.02, 0.01, 0.26, -0.97
11/19/09 13:10:44.04,  20.518, 12197.57,   22.6,     7.0,                      ,11/19/09 13:08:01.12, 0.01, 0.26, -0.97
11/19/09 13:10:45.04,  20.517, 12197.88,   22.6,     7.0,                      ,11/19/09 13:08:01.22, 0.01, 0.27, -0.97
11/19/09 13:10:46.04,  20.517, 12198.17,   22.6,     7.0,                      ,11/19/09 13:08:01.32, 0.01, 0.27, -0.97
11/19/09 13:10:47.04,  20.516, 12198.47,   22.6,     7.0,                      ,11/19/09 13:08:01.42, 0.02, 0.27, -0.97
11/19/09 13:10:48.04,  20.516, 12198.81,   22.6,     7.0,                      ,11/19/09 13:08:01.52, 0.02, 0.27, -0.97
11/19/09 13:10:49.04,  20.515, 12199.12,   22.6,     7.0,                      ,11/19/09 13:08:01.62, 0.02, 0.27, -0.97
